Time Number Z,HT Phase Current Z,x,x_sq,x_cube,x_four,x_five,x_six,,,,,,,,
-2.001557142,0.665027091,-2.001557142,4.006230994,-8.018700259,16.04988677,-32.1247655,64.29955384,,,,,,,,
-2.001511609,0.63115163,-2.001511609,4.00604872,-8.018153018,16.04842635,-32.12111164,64.29077783,,,,,,,,
-2.001466075,0.656724282,-2.001466075,4.005866451,-8.017605803,16.04696602,-32.1174581,64.28200282,,,,,,,,
-2.001420542,0.705544798,-2.001420542,4.005684185,-8.017058613,16.04550579,-32.1138049,64.2732288,,,,,,,,
-2.001374877,0.725139427,-2.001374877,4.005501399,-8.016509871,16.04404146,-32.1101415,64.26443051,,,,,,,,
-2.001329344,0.716836618,-2.001329344,4.005319142,-8.01596273,16.04258143,-32.10648897,64.2556585,,,,,,,,
-2.00128381,0.761007561,-2.00128381,4.005136889,-8.015415615,16.0411215,-32.10283676,64.24688748,,,,,,,,
-2.001238277,0.739420258,-2.001238277,4.004954641,-8.014868524,16.03966167,-32.09918489,64.23811746,,,,,,,,
-2.001192612,0.784255426,-2.001192612,4.004771871,-8.014319882,16.03819774,-32.09552283,64.22932317,,,,,,,,
-2.001147079,0.836397065,-2.001147079,4.004589631,-8.013772841,16.03673811,-32.09187162,64.22055515,,,,,,,,
-2.001101545,0.85964493,-2.001101545,4.004407395,-8.013225825,16.03527858,-32.08822075,64.21178813,,,,,,,,
-2.001056012,0.903151649,-2.001056012,4.004225163,-8.012678834,16.03381915,-32.08457021,64.2030221,,,,,,,,
-2.001010478,0.874257874,-2.001010478,4.004042935,-8.012131868,16.03235982,-32.08092,64.19425708,,,,,,,,
-2.000964814,0.852670571,-2.000964814,4.003860186,-8.011583351,16.03089639,-32.0772596,64.18546779,,,,,,,,
-2.00091928,0.880900121,-2.00091928,4.003677966,-8.011036435,16.02943726,-32.07361006,64.17670476,,,,,,,,
-2.000873747,0.92307839,-2.000873747,4.003495751,-8.010489543,16.02797823,-32.06996085,64.16794273,,,,,,,,
-2.000828213,0.91610403,-2.000828213,4.00331354,-8.009942677,16.0265193,-32.06631197,64.15918169,,,,,,,,
-2.000782549,0.954629063,-2.000782549,4.003130807,-8.00939426,16.02505626,-32.06265291,64.15039641,,,,,,,,
-2.000737015,0.93304176,-2.000737015,4.002948604,-8.008847443,16.02359753,-32.05900469,64.14163737,,,,,,,,
-2.000691482,0.930716974,-2.000691482,4.002766406,-8.008300651,16.0221389,-32.05535681,64.13287932,,,,,,,,
-2.000645948,0.942673019,-2.000645948,4.002584211,-8.007753884,16.02068036,-32.05170926,64.12412227,,,,,,,,
-2.000600415,0.85399902,-2.000600415,4.00240202,-8.007207143,16.01922193,-32.04806204,64.11536622,,,,,,,,
-2.00055475,0.883889132,-2.00055475,4.002219309,-8.00665885,16.0177594,-32.04440465,64.10658594,,,,,,,,
-2.000509217,0.908133334,-2.000509217,4.002037127,-8.006112158,16.01630116,-32.0407581,64.09783189,,,,,,,,
-2.000463683,0.880900121,-2.000463683,4.001854949,-8.005565491,16.01484303,-32.03711187,64.08907883,,,,,,,,
-2.00041815,0.919757266,-2.00041815,4.001672775,-8.005018848,16.01338499,-32.03346599,64.08032676,,,,,,,,
